53974 20150103 0800 20150103 0200  2.422  -96.61   39.10    -1.3    -1.2    -0.7    -1.6     0.0      0 0      0 0      0 0 C    -2.2 0    -1.7 0    -2.9 0    89 0 -99.000   0.308   0.401 -99.000 -99.000     0.2     1.0     1.9     4.4     8.4
53974 20150103 0900 20150103 0300  2.422  -96.61   39.10    -1.7    -1.7    -1.3    -2.1     0.0      0 0      0 0      0 0 C    -3.2 0    -2.7 0    -3.7 0    90 0 -99.000   0.320   0.389 -99.000 -99.000     0.2     1.0     1.9     4.4     8.4
53974 20150103 1000 20150103 0400  2.422  -96.61   39.10    -1.9    -1.6    -1.2    -1.9     0.0      0 0      0 0      0 0 C    -2.7 0    -1.9 0    -4.7 0    91 0 -99.000   0.314   0.397 -99.000 -99.000     0.3     1.0     1.9     4.4     8.4
53974 20150103 1100 20150103 0500  2.422  -96.61   39.10    -3.9    -2.7    -1.9    -3.9     0.0      0 0      0 0      0 0 C    -5.0 0    -4.1 0    -5.4 0    92 0 -99.000   0.321   0.400 -99.000 -99.000     0.3     1.0     1.9     4.4     8.3
53974 20150103 1200 20150103 0600  2.422  -96.61   39.10    -2.9    -3.2    -2.8    -3.8     0.0      0 0      0 0      0 0 C    -4.4 0    -2.9 0    -4.9 0    93 0 -99.000   0.320   0.389 -99.000 -99.000     0.3     1.0     1.9     4.4     8.3
53974 20150103 1300 20150103 0700  2.422  -96.61   39.10    -3.1    -3.3    -2.9    -3.5     0.0      0 0      0 0      0 0 C    -3.6 0    -2.9 0    -4.1 0    94 0 -99.000   0.319   0.397 -99.000 -99.000     0.3     1.0     1.9     4.4     8.3
53974 20150103 1400 20150103 0800  2.422  -96.61   39.10    -2.8    -3.0    -2.8    -3.1     0.0      0 0      0 0      0 0 C    -2.7 0    -2.1 0    -3.1 0    94 0 -99.000   0.325   0.397 -99.000 -99.000     0.3     1.0     1.9     4.4     8.3
53974 20150103 1500 20150103 0900  2.422  -96.61   39.10    -1.8    -2.3    -1.8    -2.8     0.0     24 0     67 0      0 0 C    -1.3 0    -0.1 0    -2.1 0    94 0 -99.000   0.315   0.408 -99.000 -99.000     0.3     1.0     1.9     4.4     8.3
53974 20150103 1600 20150103 1000  2.422  -96.61   39.10    -0.2    -1.1    -0.2    -1.8     0.0    131 0    331 0     66 0 C     1.4 0     4.1 0    -0.1 0    94 0 -99.000   0.319   0.387 -99.000 -99.000     0.3     1.0     1.9     4.4     8.3
53974 20150103 1700 20150103 1100  2.422  -96.61   39.10     0.9     0.5     0.9    -0.3     0.0    159 0    228 0    136 0 C     3.6 0     4.3 0     2.9 0    90 0 -99.000   0.319   0.403 -99.000 -99.000     0.3     1.0     1.9     4.4     8.2
53974 20150103 1800 20150103 1200  2.422  -96.61   39.10     1.6     1.3     1.7     0.9     0.0    169 0    205 0    137 0 C     4.6 0     5.3 0     3.6 0    82 0 -99.000   0.321   0.393 -99.000 -99.000     0.3     1.0     1.9     4.4     8.3
53974 20150103 1900 20150103 1300  2.422  -96.61   39.10     2.2     1.8     2.2     1.5     0.0    137 0    184 0    105 0 C     4.8 0     5.5 0     4.2 0    75 0 -99.000   0.315   0.378 -99.000 -99.000     0.3     1.1     1.9     4.3     8.3
